"","haul_number","year","month","day","wdfw_region","location_accuracy","had_gps","Sampling_Type","Num_of_Replicates","Depth","Measurement_Unit","Temperature","Salinity","Tide","new_lat","new_lon","location","gear","type","species","count","notes","row_color"
"13","481C",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"5-8","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","invert.","unid. anemone",2,NA,NA
"14","481C",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"5-8","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","vert.","unid. kelp fish",1,NA,NA
"15","481C",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"5-8","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","vert.","ratfish",4,NA,NA
"16","481C",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"5-8","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","invert.","Pycnopodia helianthoides",4,NA,NA
"17","481C",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"5-8","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","invert.","Parastichopus californicus",3,NA,NA
"18","481C",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"5-8","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","vert.","rock sole",3,NA,NA
"19","481C",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"5-8","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","vert.","Pacific staghorn sculpin",4,NA,NA
"20","481C",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"5-8","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","invert.","Pecten sp.",3,NA,NA
"21","481C",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"5-8","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","invert.","unid. tube worm",3,NA,NA
"22","481D",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"8-10","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","invert.","unid. crab",2,NA,NA
"23","481D",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"8-10","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","invert.","Cryptochiton stelleri",1,NA,NA
"24","481D",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"8-10","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","vert.","English sole",2,NA,NA
"25","481D",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"8-10","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","vert.","rock sole",2,NA,NA
"26","481D",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"8-10","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","invert.","Aphrodite sp.",1,NA,NA
"27","481D",1948,12,28,"Hood Canal",2,0,"Otter trawl",1,"8-10","Fathoms",0,0,0,47.8039914282,-122.700957791,"12","otter","vert.","ratfish",3,NA,NA
"28","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","striped seaperch",1,NA,NA
"29","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","rex sole",1,NA,NA
"30","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","shiner perch",37,NA,NA
"31","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","arrowtooth flounder",9,NA,NA
"32","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","unid. rockfish",1,NA,NA
"33","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","slim sculpin",1,NA,NA
"34","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","Pacific tomcod",1,NA,NA
"35","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","roughback sculpin",1,NA,NA
"36","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","rock sole",5,NA,NA
"37","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","speckled sanddab",1,NA,NA
"38","490A",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","English sole",4,NA,NA
"39","490B",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","English sole",3,NA,NA
"40","490B",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","arrowtooth flounder",2,NA,NA
"41","490B",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","shiner perch",3,NA,NA
"42","490B",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","Pacific sanddab",1,NA,NA
"43","490B",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","roughback sculpin",4,NA,NA
"44","490B",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","C-O sole",1,NA,NA
"45","490B",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","slim sculpin",4,NA,NA
"46","490B",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","Dover sole",2,NA,NA
"47","490B",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"20","Fathoms",0,0,0,47.7267260561,-122.502973872,"10W","otter","vert.","rock sole",5,NA,NA
"48","490C",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"15-20","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","plainfin midshipman",14,NA,NA
"49","490C",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"15-20","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","pygmy poacher",NA,NA,NA
"50","490C",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"15-20","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","arrowtooth flounder",1,NA,NA
"51","490C",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"15-20","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","English sole",1,NA,NA
"52","490C",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"15-20","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","rock sole",2,NA,NA
"53","490C",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"15-20","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","slim sculpin",2,NA,NA
"54","490C",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"15-20","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","roughback sculpin",1,NA,NA
"55","490C",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"15-20","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","Dover sole",4,NA,NA
"56","490C",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"15-20","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","ratfish",1,NA,NA
"57","490D",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"8","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","sand sole",1,NA,NA
"58","490D",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"8","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","roughback sculpin",11,NA,NA
"59","490D",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"8","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","speckled sanddab",1,NA,NA
"60","490D",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"8","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","C-O sole",9,NA,NA
"61","490D",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"8","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","pygmy poacher",1,NA,NA
"62","490D",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"8","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","Pacific sanddab",7,NA,NA
"63","490D",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"8","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","northern ronquil",1,NA,NA
"64","490D",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"8","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","rock sole",2,NA,NA
"65","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","lingcod",1,NA,NA
"66","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","bay pipefish",1,NA,NA
"67","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","roughback sculpin",15,NA,NA
"68","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","speckled sanddab",1,NA,NA
"69","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","rock sole",12,NA,NA
"70","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","pygmy poacher",1,NA,NA
"71","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","English sole",6,NA,NA
"72","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","longnose skate",1,NA,NA
"73","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","northern spearnose poacher",1,NA,NA
"74","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","Pacific sanddab",1,NA,NA
"75","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","sand sole",1,NA,NA
"76","490E",1949,1,22,"Central Sound",3,0,"Otter trawl",1,"10","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","C-O sole",9,NA,NA
"77","490F",1949,2,5,"Central Sound",3,0,"Otter trawl",1,"5","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","English sole",3,NA,NA
"78","490F",1949,2,5,"Central Sound",3,0,"Otter trawl",1,"5","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","rock sole",1,NA,NA
"79","490F",1949,2,5,"Central Sound",3,0,"Otter trawl",1,"5","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","unid. sculpin",NA,NA,NA
"80","490F",1949,2,5,"Central Sound",3,0,"Otter trawl",1,"5","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","C-O sole",2,NA,NA
"81","490F",1949,2,5,"Central Sound",3,0,"Otter trawl",1,"5","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","unid. snailfish",1,NA,NA
"82","490F",1949,2,5,"Central Sound",3,0,"Otter trawl",1,"5","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","cabezon",1,NA,NA
"83","490F",1949,2,5,"Central Sound",3,0,"Otter trawl",1,"5","Fathoms",0,0,0,47.735413911,-122.503721213,"10W","otter","invert.","Parastichopus californicus",2,NA,NA
"84","490G",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"11","Fathoms",0,0,0,47.7016042185,-122.571423015,"10W","otter","vert.","rock sole",NA,NA,NA
"85","490G",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"11","Fathoms",0,0,0,47.7016042185,-122.571423015,"10W","otter","invert.",NA,NA,"no invert catch abundances",NA
"86","490G",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"11","Fathoms",0,0,0,47.7016042185,-122.571423015,"10W","otter","vert.","cabezon",4,NA,NA
"87","490G",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"11","Fathoms",0,0,0,47.7016042185,-122.571423015,"10W","otter","vert.","unid. snailfish",1,NA,NA
"88","490H",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7016042185,-122.571423015,"10W","otter","vert.","buffalo sculpin",2,NA,NA
"89","490H",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7016042185,-122.571423015,"10W","otter","vert.","cabezon",3,NA,NA
"90","490I",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7214234827,-122.640916578,"10W","otter","vert.","buffalo sculpin",1,NA,NA
"91","490J",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7214234827,-122.640916578,"10W","otter","vert.","unid. poacher",NA,NA,NA
"92","490J",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7214234827,-122.640916578,"10W","otter","vert.","plainfin midshipman",6,NA,NA
"93","490J",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7214234827,-122.640916578,"10W","otter","vert.","buffalo sculpin",NA,NA,NA
"94","490J",1949,2,5,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7214234827,-122.640916578,"10W","otter","vert.","unid. greenling",1,NA,NA
"95","490K",1949,2,22,"Central Sound",3,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","C-O sole",4,NA,NA
"96","490K",1949,2,22,"Central Sound",3,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.735413911,-122.503721213,"10W","otter","vert.","rock sole",3,NA,NA
"97","490L",1949,2,22,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7016042185,-122.571423015,"10W","otter","invert.","unid. sea cucumber",28,"most likely Parastichopus",NA
"98","490L",1949,2,22,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7016042185,-122.571423015,"10W","otter","vert.","C-O sole",3,NA,NA
"99","490L",1949,2,22,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.7016042185,-122.571423015,"10W","otter","vert.","rock sole",13,NA,NA
"100","490m",1949,2,22,"Central Sound",2,0,"Otter trawl",1,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,NA,NA,NA,NA,NA,NA,NA
"101","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","buffalo sculpin",1,NA,NA
"102","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","invert.","Parastichopus californicus",83,NA,NA
"103","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","roughback sculpin",3,NA,NA
"104","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","invert.","Mya truncata",1,NA,NA
"105","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","invert.","Cucumaria sp.",3,NA,NA
"106","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","rock sole",10,NA,NA
"107","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","northern spearnose poacher",1,NA,NA
"108","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","cabezon",1,NA,NA
"109","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","invert.","Pisaster brevispinus",4,NA,NA
"110","490N",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","C-O sole",1,NA,NA
"111","490O",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","invert.","Parastichopus californicus",28,NA,NA
"112","490O",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","northern spearnose poacher",1,NA,NA
"113","490O",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","rock sole",5,NA,NA
"114","490O",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","invert.","Ptilosarcus gurneyi",1,NA,NA
"115","490O",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","invert.","Cryptochiton stelleri",1,NA,NA
"116","490O",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","cabezon",1,NA,NA
"117","490O",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","unid. sculpin",2,NA,NA
"118","490O",1949,3,25,"Central Sound",2,0,"Otter trawl",2,"none recorded",NA,0,0,0,47.6984642426,-122.573643356,"10W","otter","vert.","English sole",1,NA,NA
"119","490P",1949,3,25,"Central Sound",2,0,"Otter trawl",1,"4","Fathoms",0,0,0,47.7193175472,-122.558897624,"10W","otter","vert.","speckled sanddab",NA,NA,NA
"120","490P",1949,3,25,"Central Sound",2,0,"Otter trawl",1,"4","Fathoms",0,0,0,47.7193175472,-122.558897624,"10W","otter","vert.","ratfish",3,NA,NA
"121","490P",1949,3,25,"Central Sound",2,0,"Otter trawl",1,"4","Fathoms",0,0,0,47.7193175472,-122.558897624,"10W","otter","vert.","sand sole",1,NA,NA
"122","490P",1949,3,25,"Central Sound",2,0,"Otter trawl",1,"4","Fathoms",0,0,0,47.7193175472,-122.558897624,"10W","otter","vert.","showy snailfish",1,NA,NA
"123","490P",1949,3,25,"Central Sound",2,0,"Otter trawl",1,"4","Fathoms",0,0,0,47.7193175472,-122.558897624,"10W","otter","vert.","roughback sculpin",1,NA,NA
"124","490P",1949,3,25,"Central Sound",2,0,"Otter trawl",1,"4","Fathoms",0,0,0,47.7193175472,-122.558897624,"10W","otter","vert.","C-O sole",8,NA,NA
"125","490P",1949,3,25,"Central Sound",2,0,"Otter trawl",1,"4","Fathoms",0,0,0,47.7193175472,-122.558897624,"10W","otter","vert.","Pacific sanddab",1,NA,NA
"126","490P",1949,3,25,"Central Sound",2,0,"Otter trawl",1,"4","Fathoms",0,0,0,47.7193175472,-122.558897624,"10W","otter","vert.","rock sole",5,NA,NA
"127","490Q",1949,4,2,"Central Sound",3,0,"Otter trawl",2,"4","Fathoms",0,0,0,47.6808645319,-122.429587122,NA,NA,NA,NA,NA,NA,NA
"128","490R",1949,4,2,"Central Sound",3,0,"Otter trawl",2,"4","Fathoms",0,0,0,47.6808645319,-122.429587122,NA,NA,NA,NA,NA,NA,NA
"129","4910A",1949,12,21,"Central Sound",3,0,"Bottom trawl",1,"30-35","Fathoms",0,0,0,47.6907637285,-122.42139478,NA,NA,NA,NA,NA,NA,NA
"130","4910B",1949,12,21,"Central Sound",2,0,"Bottom trawl",1,"10","Fathoms",0,0,0,47.7016042185,-122.571423015,NA,NA,NA,NA,NA,NA,NA
"131","491A",1949,8,22,"Central Sound",3,0,"Bottom trawl",1,"29-20","Fathoms",0,0,0,47.6907637285,-122.42139478,NA,NA,NA,NA,NA,NA,NA
"132","491B",1949,8,23,"San Juan Island",1,0,"Bottom trawl",1,"44-48","Fathoms",0,0,0,48.655936906,-123.163762142,NA,NA,NA,NA,NA,NA,NA
"133","491C",1949,8,23,"San Juan Island",2,0,"Bottom trawl",1,"70-76","Fathoms",0,0,0,48.6928055961,-123.255687012,NA,NA,NA,NA,NA,NA,NA
"134","491E",1949,8,23,"San Juan Island",2,0,"box trawl",1,"36-43","Fathoms",0,0,0,48.7166735293,-122.824349281,NA,NA,NA,NA,NA,NA,NA
"135","491F",1949,8,23,"San Juan Island",2,0,"box trawl",1,"31","Fathoms",0,0,0,48.7166735293,-122.824349281,NA,NA,NA,NA,NA,NA,NA
"136","491G",1949,8,24,"San Juan Island",0,1,"Unknown",1,"34","Fathoms",0,0,0,48.84,-122.825,NA,NA,NA,NA,NA,NA,NA
"137","491H",1949,8,24,"San Juan Island",0,0,"Unknown",1,"14","Fathoms",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","491I",1949,8,24,"Gulf-Bellingham",2,0,"Unknown",1,"12-19","Fathoms",0,0,0,48.6917009701,-122.566700026,NA,NA,NA,NA,NA,NA,NA
"139","491J",1949,8,24,"Gulf-Bellingham",2,1,"Unknown",1,"18","Fathoms",0,0,0,48.6917,-122.5667,NA,NA,NA,NA,NA,NA,NA
"140","491K",1949,8,24,"Gulf-Bellingham",1,0,"Otter trawl",1,"15-17","Fathoms",0,0,0,48.6181115895,-122.581312229,"7","otter","vert.","Dover sole",7,NA,NA
"141","491K",1949,8,24,"Gulf-Bellingham",1,0,"Otter trawl",1,"15-17","Fathoms",0,0,0,48.6181115895,-122.581312229,"7","otter","vert.","blackbelly eelpout",148,NA,NA
"142","491K",1949,8,24,"Gulf-Bellingham",1,0,"Otter trawl",1,"15-17","Fathoms",0,0,0,48.6181115895,-122.581312229,"7","otter","vert.","English sole",23,NA,NA
"143","491K",1949,8,24,"Gulf-Bellingham",1,0,"Otter trawl",1,"15-17","Fathoms",0,0,0,48.6181115895,-122.581312229,"7","otter","vert.","rex sole",1,NA,NA
"144","491K",1949,8,24,"Gulf-Bellingham",1,0,"Otter trawl",1,"15-17","Fathoms",0,0,0,48.6181115895,-122.581312229,"7","otter","vert.","dogfish",5,NA,NA
"145","491K",1949,8,24,"Gulf-Bellingham",1,0,"Otter trawl",1,"15-17","Fathoms",0,0,0,48.6181115895,-122.581312229,"7","otter","vert.","sturgeon poacher",1,NA,NA
"146","491K",1949,8,24,"Gulf-Bellingham",1,0,"Otter trawl",1,"15-17","Fathoms",0,0,0,48.6181115895,-122.581312229,"7","otter","vert.","butter sole",4,NA,NA
"147","491L",1949,8,25,"San Juan Island",2,1,"Otter trawl",1,"15","Fathoms",0,0,0,48.76,-122.8983,"7","otter","vert.","pighead prickleback",1,NA,NA
"148","491L",1949,8,25,"San Juan Island",2,1,"Otter trawl",1,"15","Fathoms",0,0,0,48.76,-122.8983,"7","otter","vert.","plainfin midshipman",2,NA,NA
"149","491M",1949,8,25,"San Juan Island",2,0,"Otter trawl",1,"17.7","Fathoms",0,0,0,48.6476846046,-122.879156222,"7","otter","vert.","Pacific tomcod",8,NA,NA
"150","491M",1949,8,25,"San Juan Island",2,0,"Otter trawl",1,"17.7","Fathoms",0,0,0,48.6476846046,-122.879156222,"7","otter","vert.","walleye pollock",14,NA,NA
"151","491M",1949,8,25,"San Juan Island",2,0,"Otter trawl",1,"17.7","Fathoms",0,0,0,48.6476846046,-122.879156222,"7","otter","vert.","plainfin midshipman",74,NA,NA
"152","491M",1949,8,25,"San Juan Island",2,0,"Otter trawl",1,"17.7","Fathoms",0,0,0,48.6476846046,-122.879156222,"7","otter","vert.","longnose skate",4,NA,NA
"153","491M",1949,8,25,"San Juan Island",2,0,"Otter trawl",1,"17.7","Fathoms",0,0,0,48.6476846046,-122.879156222,"7","otter","vert.","pighead prickleback",14,NA,NA
"154","491M",1949,8,25,"San Juan Island",2,0,"Otter trawl",1,"17.7","Fathoms",0,0,0,48.6476846046,-122.879156222,"7","otter","vert.","shortfin eelpout",1,NA,NA
"155","491M",1949,8,25,"San Juan Island",2,0,"Otter trawl",1,"17.7","Fathoms",0,0,0,48.6476846046,-122.879156222,"7","otter","vert.","English sole",5,NA,NA
